song_title,artist,rank
Choosin' Texas,Ella Langley,1
Swim,BTS,2
Man I Need,Olivia Dean,3
I Just Might,Bruno Mars,4
Ordinary,Alex Warren,5
So Easy (To Fall In Love),Olivia Dean,6
Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",7
Stateside,PinkPantheress With Zara Larsson,8
The Fate Of Ophelia,Taylor Swift,9
Folded,Kehlani,10
Where Is My Husband!,RAYE,11
Be Her,Ella Langley,12
Opalite,Taylor Swift,13
Sleepless In A Hotel Room,Luke Combs,14
Risk It All,Bruno Mars,15
Babydoll,Dominic Fike,16
Iloveitiloveitiloveit,Bella Kay,17
Dracula,Tame Impala & JENNIE,18
E85,Don Toliver,19
Yukon,Justin Bieber,20
Father,Ye & Travis Scott,21
Be By You,Luke Combs,22
American Girls,Harry Styles,23
DTMF,Bad Bunny,24
Homewrecker,sombr,25
Body,Don Toliver,26
All The Love,Ye & Andre Troutman,27
The Fall,Cody Johnson,28
Die On This Hill,Sienna Spiro,29
Change My Mind,Riley Green,30
Pop Dat Thang,DaBaby,31
White Keys,Dominic Fike,32
Fever Dream,Alex Warren,33
Let 'Em Know,T.I.,34
Elizabeth Taylor,Taylor Swift,35
Lush Life,Zara Larsson,36
What You Saying,Lil Uzi Vert,37
The Great Divide,Noah Kahan,38
Days Like These,Luke Combs,39
King,Ye,40
Motion Party,BossMan Dlow,41
Body To Body,BTS,42
Midnight Sun,Zara Larsson,43
Punch Drunk,Ye,44
Brunette,Tucker Wetmore,45
Loving Life Again,Ella Langley,46
McArthur,"HARDY, Eric Church, Morgan Wallen & Tim McGraw",47
Porch Light,Noah Kahan,48
Whatever Works,Ye,49
When Did You Get Hot?,Sabrina Carpenter,50
This A Must,Ye,51
Raindance,Dave & Tems,52
Chanel,Tyla,53
Dandelion,Ella Langley,54
Rethink Some Things,Luke Combs,55
I Ain't Coming Back,Morgan Wallen Featuring Post Malone,56
Preacher Man,Ye,57
Aperture,Harry Styles,58
Mama's Favorite,Ye,59
In My Room,Julia Wolf,60
Bully,Ye & CeeLo Green,61
Highs And Lows,Ye,62
Time's Ticking,Justin Moore,63
Hooligan,BTS,64
Earrings,Malcolm Todd,65
What He'll Never Have,Dylan Scott,66
Sisters And Brothers,Ye,67
Ain't A Bad Life,Thomas Rhett Featuring Jordan Davis,68
"Younger You (From The ""Hannah Montana 20th Anniversary Special"")",Miley Cyrus,69
Turn This Truck Around,Jordan Davis,70
Beautiful Things,Megan Moroney,71
I Can't Wait,Ye,72
Normal,BTS,73
FYA,BTS,74
2.0,BTS,75
Ends Of The Earth,Ty Myers,76
Freakin' Out,Dexter And The Moonrocks,77
Rein Me In,Sam Fender & Olivia Dean,78
Coming Up Roses,Harry Styles,79
The Visitor,Sienna Spiro,80
Last Breath,Ye & Peso Pluma,81
White Lines,Ye & Andre Troutman,82
Go Away,Weezer,83
Aliens,BTS,84
Beauty And The Beast,Ye,85
Don't We,Morgan Wallen,86
Circles,Ye,87
Dry Spell,Kacey Musgraves,88
What You Need,Tems,89
Like Animals,BTS,90
Zoo,Shakira,91
Dano,Peso Pluma & Tito Double P,92
Who Knows,Daniel Caesar,93
They Don't Know 'bout Us,BTS,94
Mrs. Trendsetter,Lil Baby,95
Merry Go Round,BTS,96
Griddle,Yeat & Don Toliver,97
Silent Treatment,Freya Skye,98
Taste Back,Harry Styles,99
Plastic Cigarette,Zach Bryan,100
